"nodeId","D",
"O1JC76301JC10035","3408",
"O1JC76301JC10294","3666",
"O1JC76301JC10837","4108",
"O1JC76301JC10563","3897",
"O1JC76301JC7825","1291",
"O1JC76301JC8931","2347",
"O1JC76301JC8073","1525",
"O1JC76301JC9547","2929",
"O1JC76301JC9449","2833",
"O1JC76301JC9901","3275",
"O1JC76301JC10160","3533",
"O1JC76301JC8893","2310",
"O1JC76301JC7683","1159",
"O1JC76301JC11006","4230",
"O1JC76301JC9169","2566",
"O1JC76301JC8300","1747",
"O1JC76301JC8794","2215",
"O1JC76301JC9056","2472",
"O1JC76301JC9412","2796",
"O1JC76301JC9888","3262",
"O1JC76301JC9673","3053",
"O1JC76301JC9789","3166",
"O1JC76301JC10123","3496",
"O1JC76301JC10383","3753",
"O1JC76301JC7646","1122",
"O1JC76301JC10947","4194",
"O1JC76301JC10656","3984",
"O1JC76301JC7918","1379",
"O1JC76301JC112031JC21740","4398",
"O1JC76301JC8263","1710",
"O1JC76301JC8540","1966",
"O1JC76301JC9019","2435",
"O1JC76301JC8162","1612",
"O1JC76301JC9636","3016",
"O1JC76301JC8439","1869",
"O1JC76301JC9754","3132",
"O1JC76301JC10345","3716",
"O1JC76301JC10248","3621",
"O1JC76301JC7876","1342",
"O1JC76301JC112621JC21795","4450",
"O1JC76301JC8149","1600",
"O1JC76301JC10763","4063",
"O1JC76301JC8982","2398",
"O1JC76301JC7777","1244",
"O1JC76301JC11111","4314",
"O1JC76301JC9260","2654",
"O1JC76301JC8395","1833",
"O1JC76301JC8666","2088",
"O1JC76301JC9716","3096",
"O1JC76301JC9976","3349",
"O1JC76301JC9500","2883",
"O1JC76301JC10211","3584",
"O1JC76301JC10489","3837;4554",
"O1JC76301JC7739","1207",
"O1JC76301JC11062","4279",
"O1JC76301JC8870","2288",
"O1JC76301JC9221","2617",
"O1JC76301JC8012","1465",
"O1JC76301JC9487","2871",
"O1JC76301JC8629","2052",
"O1JC76301JC9119","2522",
"O1JC76301JC9389","2773",
"O1JC76301JC9840","3217",
"O1JC76301JC10444","3802",
"O1JC76301JC10758","4058",
"O1JC76301JC8832","2251",
"O1JC76301JC7974","1428",
"O1JC76301JC8240","1687",
"O1JC76301JC8733","2152",
"O1JC76301JC9352","2737",
"O1JC76301JC8492","1919",
"O1JC76301JC9803","3180",
"O1JC76301JC10063","3436",
"O1JC76301JC10706","4021",
"O1JC76301JC10298","3670",
"O1JC76301JC10879","4136",
"O1JC76301JC10593","3925;4531",
"O1JC76301JC8201","1650",
"O1JC76301JC8696","2117",
"O1JC76301JC111661JC21704","4362",
"O1JC76301JC8959","2375",
"O1JC76301JC9315","2702",
"O1JC76301JC8101","1553",
"O1JC76301JC9576","2956",
"O1JC76301JC10285","3658",
"O1JC76301JC9929","3303",
"O1JC76301JC10817","4100",
"O1JC76301JC10188","3561",
"O1JC76301JC10553","3888",
"O1JC76301JC7816","1282",
"O1JC76301JC111501JC21691","4349",
"O1JC76301JC8921","2338",
"O1JC76301JC7711","1184",
"O1JC76301JC8064","1516",
"O1JC76301JC8328","1775",
"O1JC76301JC9440","2824",
"O1JC76301JC8581","2008",
"O1JC76301JC10151","3524",
"O1JC76301JC8884","2302",
"O1JC76301JC7674","1150",
"O1JC76301JC10981","4221",
"O1JC76301JC9160","2557",
"O1JC76301JC8291","1738",
"O1JC76301JC8785","2206",
"O1JC76301JC8568","1994",
"O1JC76301JC112071JC21744","4401",
"O1JC76301JC9047","2463",
"O1JC76301JC9403","2787",
"O1JC76301JC9664","3044",
"O1JC76301JC9780","3157",
"O1JC76301JC10114","3487",
"O1JC76301JC10374","3744",
"O1JC76301JC7637","1113",
"O1JC76301JC10938","4185",
"O1JC76301JC8772","2193",
"O1JC76301JC10646","3976;4488",
"O1JC76301JC7909","1370",
"O1JC76301JC111941JC21731","4389",
"O1JC76301JC9010","2426",
"O1JC76301JC8153","1604",
"O1JC76301JC9290","2680",
"O1JC76301JC9627","3007",
"O1JC76301JC8429","1860",
"O1JC76301JC9745","3123",
"O1JC76301JC9528","2910",
"O1JC76301JC10336","3707",
"O1JC76301JC10633","3963",
"O1JC76301JC10239","3612",
"O1JC76301JC7867","1333",
"O1JC76301JC8140","1591",
"O1JC76301JC7768","1235",
"O1JC76301JC11094","4306",
"O1JC76301JC9251","2645",
"O1JC76301JC8040","1493",
"O1JC76301JC8385","1824",
"O1JC76301JC8657","2080",
"O1JC76301JC9707","3087",
"O1JC76301JC9967","3340",
"O1JC76301JC9869","3245-1",
"O1JC76301JC10202","3575",
"O1JC76301JC10480","3828",
"O1JC76301JC11053","4270",
"O1JC76301JC8861","2279",
"O1JC76301JC8003","1456",
"O1JC76301JC8620","2044",
"O1JC76301JC9109","2513",
"O1JC76301JC9380","2764",
"O1JC76301JC8521","1947",
"O1JC76301JC9831","3208",
"O1JC76301JC10091","3464",
"O1JC76301JC10433","3793",
"O1JC76301JC10747","4049",
"O1JC76301JC8823","2242",
"O1JC76301JC7964","1419",
"O1JC76301JC8230","1678",
"O1JC76301JC8724","2143",
