"nodeId","D",
"O2DB757121KG72836","3101",
"O2DB757121KG75125","5285",
"O2DB757121KG72621","2893",
"O2DB757121KG73072","3331",
"O2DB757121KG75836","5847",
"O2DB757121KG73332","3566",
"O2DB757121KG75621","5694",
"O2DB757121KG73783","4022",
"O2DB757121KG71754","2075",
"O2DB757121KG72088","2383",
"O2DB757121KG74043","4281",
"O2DB757121KG74377","4616",
"O2DB757121KG72348","2637",
"O2DB757121KG74637","4863",
"O2DB757121KG71990","2301",
"O2DB757121KG74279","4517",
"O2DB757121KG74754","4979",
"O2DB757121KG72250","2540",
"O2DB757121KG72584","2855",
"O2DB757121KG74539","4775",
"O2DB757121KG72701","2970",
"O2DB757121KG72961","3224",
"O2DB757121KG75250","5405",
"O2DB757121KG73555","3795",
"O2DB757121KG75701","5747",
"O2DB757121KG71717","2046",
"O2DB757121KG74006","4244",
"O2DB757121KG75961","5954",
"O2DB757121KG74266","4504",
"O2DB757121KG74717","4942",
"O2DB757121KG72213","2505",
"O2DB757121KG74502","4739",
"O2DB757121KG72924","3187",
"O2DB757121KG75213","5369",
"O2DB757121KG73518","3759",
"O2DB757121KG75924","5919",
"O2DB757121KG73420","3655",
"O2DB757121KG73871","4110",
"O2DB757121KG71842","2154",
"O2DB757121KG72176","2470",
"O2DB757121KG74131","4369",
"O2DB757121KG72436","2713",
"O2DB757121KG72887","3151",
"O2DB757121KG74842","5065",
"O2DB757121KG75176","5334",
"O2DB757121KG73147","3392",
"O2DB757121KG75436","5560",
"O2DB757121KG72789","3055",
"O2DB757121KG73049","3312",
"O2DB757121KG75887","5889",
"O2DB757121KG73383","3617",
"O2DB757121KG73858","4097",
"O2DB757121KG73643","3883",
"O2DB757121KG75789","5817",
"O2DB757121KG71805","2123",
"O2DB757121KG73760","3999",
"O2DB757121KG74094","4332",
"O2DB757121KG72065","2360",
"O2DB757121KG74354","4594",
"O2DB757121KG74805","5029",
"O2DB757121KG72301","2590",
"O2DB757121KG74590","4817",
"O2DB757121KG75065","5259",
"O2DB757121KG72561","2832",
"O2DB757121KG73012","3275",
"O2DB757121KG75301","5456",
"O2DB757121KG73606","3846",
"O2DB757121KG75561","5642",
"O2DB757121KG73723","3962",
"O2DB757121KG72028","2326",
"O2DB757121KG74317","4555",
"O2DB757121KG71930","2240",
"O2DB757121KG74219","4457",
"O2DB757121KG75028","5229",
"O2DB757121KG72524","2795",
"O2DB757121KG74670","4896",
"O2DB757121KG72975","3238",
"O2DB757121KG74930","5153",
"O2DB757121KG73235","3477",
"O2DB757121KG75524","5616",
"O2DB757121KG73686","3926",
"O2DB757121KG73471","3708",
"O2DB757121KG73946","4184",
"O2DB757121KG71893","2204",
"O2DB757121KG74182","4420",
"O2DB757121KG72153","2447",
"O2DB757121KG72487","2761",
"O2DB757121KG74442","4680",
"O2DB757121KG74893","5116",
"O2DB757121KG72389","2670",
"O2DB757121KG72864","3128",
"O2DB757121KG73198","3442",
"O2DB757121KG75153","5311",
"O2DB757121KG72649","2919",
"O2DB757121KG73458","3695",
"O2DB757121KG73100","3348",
"O2DB757121KG75389","5528",
"O2DB757121KG75864","5872",
"O2DB757121KG73360","3594",
"O2DB757121KG73811","4050",
"O2DB757121KG72116","2411",
"O2DB757121KG74405","4644",
"O2DB757121KG74665","4891",
"O2DB757121KG72827","3092",
"O2DB757121KG75116","5277",
"O2DB757121KG72612","2884",
"O2DB757121KG72729","2999",
"O2DB757121KG75827","5841",
"O2DB757121KG73323","3557",
"O2DB757121KG75612","5685",
"O2DB757121KG73774","4013",
"O2DB757121KG75729","5769",
"O2DB757121KG71745","2067",
"O2DB757121KG74034","4272",
"O2DB757121KG74628","4854",
"O2DB757121KG71981","2292",
"O2DB757121KG74270","4508",
"O2DB757121KG74745","4970",
"O2DB757121KG72241","2532",
"O2DB757121KG72575","2846",
"O2DB757121KG74530","4766",
"O2DB757121KG72692","2961",
"O2DB757121KG74981","5193",
"O2DB757121KG72952","3215",
"O2DB757121KG73286","0",
"O2DB757121KG75241","5396",
"O2DB757121KG75575","5652",
"O2DB757121KG73546","3786",
"O2DB757121KG75692","5738",
"O2DB757121KG71708","2037",
"O2DB757121KG73997","4235",
"O2DB757121KG75952","5944",
"O2DB757121KG71968","2279",
"O2DB757121KG74257","4495",
"O2DB757121KG73899","4137",
