"O01CT000701JW27420","507",
"O01CT000701JW27335","430",
"O01CT000701JW26852","13",
"O01CT000701JW27478","561",
"O01CT000701JW27393","480",
"O01CT000701JW26916","62",
"O01CT000701JW27314","410",
"O01CT000701JW26831","11.44",
"O01CT000701JW27457","541",
"O01CT000701JW27372","460",
"O01CT000701JW26889","38",
"O01CT000701JW26810","11.24",
"O01CT000701JW27436","522",
"O01CT000701JW26725","5",
"O01CT000701JW27351","442",
"O01CT000701JW26868","21",
"O01CT000701JW26783","11.1",
"O01CT000701JW27330","426",
"O01CT000701JW27245","345",
"O01CT000701JW27388","475",
"O01CT000701JW27309","407",
"O01CT000701JW27303","401",
"O01CT000701JW26826","11.39",
"O01CT000701JW26741","9",
"O01CT000701JW27282","381",
"O01CT000701JW26720","3",
"O01CT000701JW27346","438",
"O01CT000701JW27261","360",
"O01CT000701JW26778","10",
"O01CT000701JW27240","340",
"O01CT000701JW26757","9",
"O01CT000701JW27155","276",
"O01CT000701JW27298","396",
"O01CT000701JW27219","330 / 762 / 242",
"O01CT000701JW27134","258",
"O01CT000701JW27277","376",
"O01CT000701JW27675","752 / 579",
"O01CT000701JW27192","304",
"O01CT000701JW27113","241 / 514",
"O01CT000701JW27654","731",
"O01CT000701JW27171","284",
"O01CT000701JW27633","710",
"O01CT000701JW27065","196",
"O01CT000701JW27612","690",
"O01CT000701JW27129","253",
"O01CT000701JW27044","177",
"O01CT000701JW27670","747",
"O01CT000701JW27187","299",
"O01CT000701JW27585","665",
"O01CT000701JW27108","237",
"O01CT000701JW27102","231",
"O01CT000701JW27023","158",
"O01CT000701JW27649","726 / 466",
"O01CT000701JW27166","280",
"O01CT000701JW27081","211",
"O01CT000701JW27628","705",
"O01CT000701JW27543","625",
"O01CT000701JW27060","191",
"O01CT000701JW27686","763 / 332.1",
"O01CT000701JW26975","114",
"O01CT000701JW27607","685",
"O01CT000701JW27601","680",
"O01CT000701JW27522","604",
"O01CT000701JW27039","172",
"O01CT000701JW26954","95",
"O01CT000701JW27580","660",
"O01CT000701JW27097","226",
"O01CT000701JW27495","578",
"O01CT000701JW27018","153",
"O01CT000701JW26933","77",
"O01CT000701JW27559","641",
"O01CT000701JW27076","207",
"O01CT000701JW27474","558.1",
"O01CT000701JW26991","129",
"O01CT000701JW26912","58",
"O01CT000701JW27538","620",
"O01CT000701JW27453","537",
"O01CT000701JW26970","110",
"O01CT000701JW27596","675",
"O01CT000701JW26885","35",
"O01CT000701JW27517","599",
